City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,18.53,95,90,8.02,SH,1704826705
1,adamstown,-25.066,-130.1015,23.98,88,99,4.08,PN,1704826626
2,bethel,41.3712,-73.414,5.2,86,100,5.66,US,1704826706
3,grytviken,-54.2811,-36.5092,7.62,82,58,2.73,GS,1704826706
4,karratha,-20.7377,116.8463,30.43,40,87,5.43,AU,1704826706
5,port-aux-francais,-49.35,70.2167,4.06,70,17,6.94,TF,1704826632
6,hasaki,35.7333,140.8333,-2.78,42,0,2.65,JP,1704826658
7,alice springs,-23.7,133.8833,24.56,32,100,0.45,AU,1704826694
8,west island,-12.1568,96.8225,26.99,89,40,5.14,CC,1704826707
9,port blair,11.6667,92.75,25.02,83,20,1.03,IN,1704826707
10,kerikeri,-35.2268,173.9474,16.71,88,18,1.59,NZ,1704826708
11,cam pha mines,21.0167,107.3,18.68,91,100,4.37,VN,1704826708
12,ulsteinvik,62.3432,5.8487,5.42,89,90,0.89,NO,1704826441
13,tazacorte,28.629,-17.9293,20.08,89,20,3.09,ES,1704826708
14,vorgashor,67.5833,63.95,-25.52,99,99,1.48,RU,1704826709
15,olonkinbyen,70.9221,-8.7187,1.74,89,100,10.68,SJ,1704826653
16,wailua homesteads,22.0669,-159.378,21.44,87,20,3.6,US,1704826709
17,kirkwall,58.9848,-2.9587,3.03,81,75,0.51,GB,1704826710
18,bhimunipatnam,17.8833,83.4333,21.73,82,100,2.25,IN,1704826710
19,badger,64.8,-147.5333,-13.86,78,75,0.0,US,1704826710
20,kariba,-16.5167,28.8,23.33,86,100,1.77,ZW,1704826710
21,seydi,39.4816,62.9137,10.31,33,15,1.9,TM,1704826710
22,ilulissat,69.2167,-51.1,-10.32,84,9,4.03,GL,1704826646
23,anaime,4.3967,-75.4449,23.24,50,7,1.66,CO,1704826711
24,yellowknife,62.456,-114.3525,-33.73,74,20,3.09,CA,1704826711
25,saipan,15.1355,145.701,27.39,78,75,7.72,MP,1704826636
26,bilibino,68.0546,166.4372,-30.04,98,100,1.31,RU,1704826712
27,plettenberg bay,-34.0527,23.3716,19.65,95,100,2.96,ZA,1704826712
28,totness,5.8833,-56.3167,28.38,71,100,5.74,SR,1704826712
29,wote,-1.7808,37.6288,20.59,79,100,0.83,KE,1704826713
30,ntungamo,-0.8833,29.65,22.16,60,97,1.37,UG,1704826713
31,cabo san lucas,22.8909,-109.9124,22.51,53,92,2.24,MX,1704826174
32,pratapgarh,24.0333,74.7833,14.93,79,0,5.01,IN,1704826713
33,whitehorse,60.7161,-135.0538,-13.57,82,100,5.14,CA,1704826661
34,longyearbyen,78.2186,15.6401,-14.09,72,40,10.29,SJ,1704826714
35,as sulayyil,20.4607,45.5779,13.14,20,0,4.14,SA,1704826714
36,vila franca do campo,37.7167,-25.4333,18.27,99,100,8.67,PT,1704826714
37,sao miguel do iguacu,-25.3481,-54.2378,31.49,29,45,2.7,BR,1704826714
38,mount isa,-20.7333,139.5,25.87,83,75,2.57,AU,1704826715
39,ust-nera,64.5667,143.2,-45.02,99,85,1.6,RU,1704826715
40,albany,42.6001,-73.9662,2.46,88,100,1.34,US,1704826451
41,jamestown,42.097,-79.2353,4.45,92,100,8.23,US,1704826430
42,praia da vitoria,38.7333,-27.0667,18.2,82,40,13.78,PT,1704826647
43,tangalle,6.024,80.7911,24.09,93,100,6.87,LK,1704826716
44,bel ombre,-4.6167,55.4167,27.91,78,20,4.12,SC,1704826716
45,kavaratti,10.5669,72.642,27.83,76,93,3.02,IN,1704826716
46,intorsura buzaului,45.6833,26.0333,-9.26,72,65,0.27,RO,1704826716
47,fale old settlement,-9.3852,-171.2468,28.83,74,72,5.07,TK,1704826717
48,puerto natales,-51.7236,-72.4875,9.25,46,100,8.23,CL,1704826634
49,flat river,37.8501,-90.5168,6.36,81,100,5.66,US,1704826718
50,new norfolk,-42.7826,147.0587,15.4,86,100,1.3,AU,1704826718
51,papatowai,-46.5619,169.4708,13.04,93,100,5.7,NZ,1704826718
52,adiake,5.2863,-3.304,27.01,77,0,2.95,CI,1704826719
53,zaozersk,69.4005,32.4476,-10.75,92,100,2.51,RU,1704826719
54,tazovsky,67.4667,78.7,-19.91,97,100,4.72,RU,1704826642
55,padangsidempuan,1.3667,99.2667,22.02,99,79,1.16,ID,1704826720
56,anadyr,64.75,177.4833,-27.72,83,100,4.0,RU,1704826720
57,carnarvon,-24.8667,113.6333,23.36,72,0,9.45,AU,1704826636
58,margaret river,-33.95,115.0667,11.79,89,0,4.52,AU,1704826627
59,invercargill,-46.4,168.35,13.9,92,100,1.79,NZ,1704826243
60,shakawe,-18.3667,21.85,23.43,73,73,1.72,BW,1704826721
61,kailua-kona,19.6406,-155.9956,22.98,83,100,9.77,US,1704826618
62,hawaiian paradise park,19.5933,-154.9731,22.24,96,100,4.12,US,1704826722
63,port elizabeth,-33.918,25.5701,22.4,86,75,3.13,ZA,1704826672
64,remire-montjoly,4.9167,-52.2667,30.02,74,75,6.17,GF,1704826722
65,blackmans bay,-43.0167,147.3167,14.74,88,100,1.03,AU,1704826723
66,ola,59.5833,151.2833,-21.88,85,100,3.0,RU,1704826723
67,fort bragg,35.139,-79.006,18.08,91,100,9.26,US,1704826723
68,klyuchi,52.2667,79.1667,-20.39,95,100,3.0,RU,1704826723
69,suva,-18.1416,178.4415,25.71,94,75,0.0,FJ,1704826691
70,kununurra,-15.7667,128.7333,26.99,89,40,2.57,AU,1704826723
71,trairi,-3.2778,-39.2689,29.8,64,80,6.04,BR,1704826724
72,chukhloma,58.7525,42.6825,-19.95,100,100,1.34,RU,1704826724
73,dukhan,25.4297,50.7858,18.32,65,100,3.25,QA,1704826508
74,yanam,16.7333,82.2167,22.18,79,100,2.28,IN,1704826724
75,pangody,65.85,74.4859,-31.93,99,10,4.01,RU,1704826724
76,colares,38.7992,-9.4469,12.09,95,75,4.47,PT,1704826724
77,sitka,57.0531,-135.33,-1.06,86,40,2.06,US,1704826725
78,soe,-9.8607,124.284,19.57,88,100,1.62,ID,1704826725
79,tiksi,71.6872,128.8694,-32.74,98,100,6.34,RU,1704826725
80,pisco,-13.7,-76.2167,26.03,65,0,3.6,PE,1704826693
81,sinabang,2.4803,96.3801,25.75,87,100,4.16,ID,1704826725
82,castillos,-34.1667,-53.8333,29.73,40,0,3.23,UY,1704826726
83,stanley,54.868,-1.6985,2.65,79,75,4.12,GB,1704826638
84,santyoku,37.4406,129.1708,2.8,80,99,4.08,KR,1704826726
85,fuglafjordur,62.244,-6.814,4.26,73,17,3.04,FO,1704826727
86,dudinka,69.4058,86.1778,-17.99,80,100,3.58,RU,1704826727
87,arraial do cabo,-22.9661,-42.0278,27.92,65,40,6.17,BR,1704826727
88,waitangi,-43.9535,-176.5597,13.23,77,100,1.34,NZ,1704826727
89,puerto ayora,-0.7393,-90.3518,30.98,86,40,4.02,EC,1704826727
90,geraldton,-28.7667,114.6,22.23,78,100,7.72,AU,1704826727
91,hithadhoo,-0.6,73.0833,27.67,76,27,2.17,MV,1704826728
92,ta`u,-14.2336,-169.5144,28.09,77,33,3.55,AS,1704826728
93,selfoss,63.9331,-20.9971,6.14,76,75,10.43,IS,1704826659
94,kingston,17.997,-76.7936,30.69,64,20,11.32,JM,1704826728
95,mersa matruh,31.3525,27.2453,14.11,38,0,4.12,EG,1704826728
96,qaqortoq,60.7167,-46.0333,7.05,52,100,14.24,GL,1704826729
97,jinchang,38.4953,102.1739,-1.54,24,0,1.04,CN,1704826729
98,tarancon,40.0085,-3.0073,5.55,78,100,0.43,ES,1704826729
99,salinas,36.6777,-121.6555,14.91,72,100,0.0,US,1704826729
100,port lincoln,-34.7333,135.8667,15.51,86,0,1.58,AU,1704826729
101,kuanda,56.3161,116.0806,-27.6,91,55,0.8,RU,1704826730
102,kuqa,41.7278,82.9364,-2.25,53,9,0.57,CN,1704826730
103,hongwon,40.0253,127.9558,-4.1,58,0,2.14,KP,1704826730
104,stornoway,58.2093,-6.3865,-3.02,93,20,0.51,GB,1704826730
105,labrador city,52.9463,-66.9114,-19.05,60,40,5.14,CA,1704826669
106,manokwari,-0.8667,134.0833,25.93,82,100,2.29,ID,1704826731
107,san pedro,14.35,121.0167,26.57,91,100,0.89,PH,1704826731
108,springs,-26.25,28.4,18.15,93,100,1.69,ZA,1704826731
109,lisala,2.15,21.5167,25.42,35,100,0.91,CD,1704826732
110,kanniyakumari,8.0833,77.5667,25.11,84,100,11.22,IN,1704826688
111,san antonio de pale,-1.4014,5.6325,27.45,80,94,6.49,GQ,1704826732
112,ribeira grande,38.5167,-28.7,18.22,88,75,13.41,PT,1704826732
113,constantia,44.1833,28.65,-6.62,82,94,10.73,RO,1704826732
114,leamington,42.0549,-82.6062,4.39,100,100,4.92,CA,1704826577
115,faya-largeau,17.9257,19.1043,22.95,8,0,5.44,TD,1704826732
116,tura,25.5198,90.2201,12.87,61,0,0.94,IN,1704826733
117,sartell,45.6216,-94.2069,-2.12,84,100,4.12,US,1704826733
118,tolanaro,-25.0319,46.9987,25.04,78,40,7.2,MG,1704826668
119,port mathurin,-19.6833,63.4167,28.14,73,93,4.82,MU,1704826638
120,hilo,19.7297,-155.09,24.23,94,100,4.12,US,1704826733
121,santarem,-2.4431,-54.7083,32.07,62,75,6.17,BR,1704826733
122,kodiak,57.79,-152.4072,-0.27,74,0,3.6,US,1704826649
123,dame-marie,18.5667,-74.4167,27.99,62,6,1.23,HT,1704826734
124,kaitong,44.8135,123.15,-15.75,81,86,3.81,CN,1704826734
125,taltal,-25.4,-70.4833,21.57,69,26,2.76,CL,1704825925
126,baiyin,36.5583,104.2081,-2.77,36,0,0.16,CN,1704826734
127,undurkhaan,47.3194,110.6556,-10.2,80,16,7.61,MN,1704826734
128,ryotsu-minato,38.0833,138.4333,3.85,95,100,4.0,JP,1704826735
